bid_datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
6/11/2024 12:00:00 PM,6/11/2024 8:00:00 AM,172197.40,172569.80,172374.10
6/11/2024 1:00:00 PM,6/11/2024 9:00:00 AM,173865.50,174231.20,172374.10
6/11/2024 2:00:00 PM,6/11/2024 10:00:00 AM,174388.10,174773.60,172374.10
6/11/2024 3:00:00 PM,6/11/2024 11:00:00 AM,174516.80,174897.00,172374.10
6/11/2024 4:00:00 PM,6/11/2024 12:00:00 PM,174989.70,175363.60,172374.10
6/11/2024 5:00:00 PM,6/11/2024 1:00:00 PM,174838.50,175205.40,172374.10
6/11/2024 6:00:00 PM,6/11/2024 2:00:00 PM,174758.70,175124.20,172374.10
6/11/2024 7:00:00 PM,6/11/2024 3:00:00 PM,174475.10,174973.60,172374.10
6/11/2024 8:00:00 PM,6/11/2024 4:00:00 PM,174962.90,175592.10,172374.10
6/11/2024 9:00:00 PM,6/11/2024 5:00:00 PM,174902.30,175254.40,172374.10
6/11/2024 10:00:00 PM,6/11/2024 6:00:00 PM,174170.60,174523.20,172374.10
6/11/2024 11:00:00 PM,6/11/2024 7:00:00 PM,171984.90,172465.60,172374.10
6/12/2024 12:00:00 AM,6/11/2024 8:00:00 PM,178806.00,180652.70,172374.10
6/12/2024 1:00:00 AM,6/11/2024 9:00:00 PM,178975.20,180849.10,172374.10
6/12/2024 2:00:00 AM,6/11/2024 10:00:00 PM,178906.50,180766.40,172374.10
6/12/2024 3:00:00 AM,6/11/2024 11:00:00 PM,178890.50,180750.40,172374.10
6/12/2024 4:00:00 AM,6/12/2024 12:00:00 AM,171281.80,171728.40,172378.60
6/12/2024 5:00:00 AM,6/12/2024 1:00:00 AM,171634.50,172206.50,172378.60
6/12/2024 6:00:00 AM,6/12/2024 2:00:00 AM,172107.80,172688.10,172378.60
6/12/2024 7:00:00 AM,6/12/2024 3:00:00 AM,172212.60,172681.60,172378.60
6/12/2024 8:00:00 AM,6/12/2024 4:00:00 AM,172177.90,172648.90,172378.60
6/12/2024 9:00:00 AM,6/12/2024 5:00:00 AM,172036.40,172617.50,172378.60
6/12/2024 10:00:00 AM,6/12/2024 6:00:00 AM,172144.90,173322.20,172378.60
6/12/2024 11:00:00 AM,6/12/2024 7:00:00 AM,173308.80,174241.60,172378.60
6/12/2024 12:00:00 PM,6/12/2024 8:00:00 AM,174207.30,175234.60,172378.60
6/12/2024 1:00:00 PM,6/12/2024 9:00:00 AM,175198.70,176250.00,172378.60
6/12/2024 2:00:00 PM,6/12/2024 10:00:00 AM,175504.10,176576.90,172378.60
6/12/2024 3:00:00 PM,6/12/2024 11:00:00 AM,174929.70,175995.70,172378.60
6/12/2024 4:00:00 PM,6/12/2024 12:00:00 PM,173589.40,174765.00,172378.60
6/12/2024 5:00:00 PM,6/12/2024 1:00:00 PM,174095.50,175118.40,172378.60
6/12/2024 6:00:00 PM,6/12/2024 2:00:00 PM,174809.20,175920.40,172378.60
6/12/2024 7:00:00 PM,6/12/2024 3:00:00 PM,174495.00,175514.20,172378.60
6/12/2024 8:00:00 PM,6/12/2024 4:00:00 PM,174904.10,175954.10,172378.60
6/12/2024 9:00:00 PM,6/12/2024 5:00:00 PM,174197.60,175230.00,172378.60
6/12/2024 10:00:00 PM,6/12/2024 6:00:00 PM,173757.30,174721.80,172378.60
6/12/2024 11:00:00 PM,6/12/2024 7:00:00 PM,172507.40,172844.20,172378.60
6/13/2024 12:00:00 AM,6/12/2024 8:00:00 PM,179081.80,180888.70,172378.60
6/13/2024 1:00:00 AM,6/12/2024 9:00:00 PM,179493.20,181362.30,172378.60
6/13/2024 2:00:00 AM,6/12/2024 10:00:00 PM,179143.40,181021.50,172378.60
